'09/24/2015',161
'09/24/2010',21
'08/11/2012',21
'03/30/2013',43
'03/30/2014',48
'08/11/2014',59
'04/09/2012',21
'02/25/2012',42
'02/25/2011',18
'10/04/2012',46
'09/06/2013',50
'05/13/2012',16
'10/04/2011',63
'05/13/2015',102
'10/27/2013',79
'09/06/2015',46
'04/09/2011',45
'01/18/2015',29
'02/26/2011',31
'01/18/2016',102
'02/26/2016',93
'01/18/2013',39
'07/15/2011',31
'07/15/2014',54
'10/31/2014',88
'02/09/2010',22
'12/29/2010',16
'03/25/2011',31
'02/09/2013',11
'12/29/2015',55
'01/13/2012',32
'05/24/2012',43
'05/24/2011',55
'05/24/2014',107
'12/02/2012',48
'12/02/2011',25
'09/10/2010',38
'08/10/2014',49
'07/05/2010',11
'08/10/2012',31
'04/17/2014',89
'12/01/2013',30
'02/07/2014',32
'12/01/2010',19
'02/07/2013',42
'12/01/2015',69
'01/14/2013',42
'01/14/2014',74
'02/06/2015',45
'02/06/2016',122
'02/06/2013',34
'02/24/2014',48
'05/21/2015',104
'01/09/2014',40
'05/21/2013',72
'12/21/2011',19
'10/27/2015',151
'06/17/2011',18
'04/11/2013',56
'10/29/2010',24
'01/31/2014',46
'08/28/2012',37
'09/27/2011',59
'01/31/2012',41
'08/28/2014',77
'01/16/2016',111
'01/16/2013',50
'01/16/2010',29
'05/22/2014',97
'12/24/2015',44
'12/24/2010',9
'02/23/2010',22
'02/23/2013',39
'10/04/2014',101
'02/23/2016',78
'08/02/2012',33
'12/25/2014',13
'12/25/2011',4
'12/25/2012',4
'07/06/2015',52
'12/18/2010',30
'07/06/2010',11
'07/06/2013',24
'03/05/2015',36
'11/01/2012',5
'06/29/2013',55
'10/30/2014',105
'04/24/2012',72
'10/10/2015',159
'08/31/2015',83
'10/10/2012',35
'04/24/2014',122
'01/06/2015',62
'03/07/2015',76
'05/01/2010',34
'07/30/2011',27
'02/14/2013',44
'01/23/2014',30
'02/14/2016',31
'02/14/2015',82
'06/08/2012',54
'06/08/2014',46
'07/01/2011',22
'12/04/2011',18
'07/01/2012',16
'12/04/2014',87
'11/12/2014',135
'12/09/2015',134
'10/24/2013',95
'09/02/2014',57
'06/01/2012',38
'09/02/2013',19
'06/25/2012',21
'06/25/2011',51
'06/25/2014',127
'06/03/2012',31
'06/03/2011',22
'12/15/2010',16
'07/03/2012',24
'04/07/2015',116
'10/06/2010',48
'09/04/2011',17
'10/06/2013',32
'09/04/2014',92
'06/16/2015',84
'02/20/2015',37
'09/30/2014',108
'10/05/2015',103
'02/20/2016',172
'09/07/2014',52
'06/20/2015',158
'06/20/2013',65
'03/04/2012',15
'03/27/2014',122
'03/04/2011',25
'03/27/2011',24
'03/04/2014',80
'03/27/2012',57
'06/04/2015',121
'06/04/2012',34
'04/14/2015',135
'11/08/2011',65
'04/14/2010',33
'04/14/2013',39
'10/02/2011',25
'11/10/2013',55
'01/13/2014',51
'01/29/2013',52
'01/29/2014',61
'10/05/2010',36
'09/07/2013',65
'05/12/2014',123
'06/16/2010',51
'08/05/2010',24
'05/12/2011',34
'06/16/2013',26
'10/09/2015',90
'11/10/2014',90
'12/06/2011',43
'01/02/2013',39
'10/09/2013',164
'02/09/2016',89
'12/28/2013',39
'01/01/2013',6
'11/02/2010',50
'07/20/2015',65
'11/13/2010',63
'11/02/2015',95
'11/13/2015',124
'03/29/2015',71
'08/01/2014',85
'10/15/2011',49
'02/15/2015',11
'05/29/2014',95
'05/29/2011',10
'05/29/2012',37
'04/25/2014',79
'02/15/2016',53
'04/25/2012',61
'07/21/2011',23
'03/29/2012',52
'11/18/2015',176
'11/18/2010',36
'06/24/2010',15
'06/24/2015',128
'06/15/2014',46
'07/08/2010',11
'01/24/2012',58
'01/24/2011',19
'11/13/2013',52
'01/25/2010',25
'08/06/2015',69
'01/01/2010',3
'08/06/2012',23
'02/01/2010',16
'02/01/2013',45
'11/09/2012',21
'02/01/2016',96
'07/18/2013',33
'07/18/2010',7
'01/01/2015',9
'03/10/2011',15
'10/21/2015',161
'10/21/2012',23
'11/09/2015',99
'06/27/2010',8
'11/15/2011',67
'11/04/2011',39
'06/27/2013',40
'04/26/2014',131
'04/26/2011',54
'04/26/2012',44
'06/19/2010',42
'11/16/2012',27
'11/15/2012',36
'06/19/2015',83
'11/16/2015',140
'05/25/2011',63
'05/25/2012',67
'08/01/2013',41
'06/21/2012',21
'06/21/2011',42
'12/22/2010',21
'12/22/2013',42
'08/07/2010',35
'11/01/2015',75
'08/07/2013',55
'06/22/2013',68
'06/22/2010',37
'09/16/2013',37
'10/18/2011',72
'09/16/2010',35
'01/15/2012',16
'01/15/2011',17
'01/15/2014',78
'03/06/2010',33
'03/06/2013',43
'03/06/2016',66
'01/21/2011',9
'01/21/2012',26
'12/30/2013',53
'08/20/2013',65
'08/20/2010',21
'10/08/2012',35
'08/20/2015',94
'04/30/2011',42
'11/21/2013',80
'01/12/2015',75
'02/10/2015',81
'09/09/2013',66
'10/22/2013',91
'04/08/2015',86
'09/09/2010',42
'09/09/2015',59
'10/22/2015',184
'04/28/2015',164
'04/28/2012',54
'02/18/2012',52
'03/03/2014',41
'05/23/2012',48
'05/23/2014',103
'03/02/2014',45
'11/05/2013',116
'05/15/2012',47
'03/02/2012',21
'05/15/2011',28
'11/27/2015',37
'11/27/2010',15
'11/27/2013',10
'03/05/2010',12
'05/02/2010',23
'07/20/2010',28
'07/20/2013',22
'02/10/2016',96
'03/09/2014',26
'12/09/2010',19
'03/09/2011',29
'02/10/2010',9
'03/09/2012',30
'09/15/2012',64
'09/30/2012',40
'05/26/2012',40
'09/15/2011',45
'05/26/2015',98
'09/15/2014',117
'07/12/2010',16
'02/13/2012',30
'02/02/2013',32
'02/02/2014',37
'02/13/2014',41
'03/15/2014',108
'11/20/2010',43
'06/26/2014',101
'11/20/2015',84
'03/15/2012',61
'12/28/2015',84
'12/21/2012',18
'05/07/2014',114
'05/07/2011',54
'07/19/2011',30
'05/07/2012',64
'12/11/2012',58
'12/11/2011',15
'11/05/2015',143
'11/05/2010',20
'02/18/2011',19
'08/03/2014',46
'11/22/2015',102
'11/22/2012',37
'08/03/2012',22
'06/10/2012',12
'05/04/2015',122
'12/12/2011',39
'06/10/2011',23
'05/04/2010',52
'07/23/2010',14
'06/10/2014',157
'05/04/2013',54
'11/08/2014',151
'12/09/2013',43
'05/28/2010',29
'11/03/2012',17
'11/03/2011',45
'11/03/2014',90
'07/28/2011',33
'11/17/2015',198
'04/02/2014',149
'04/02/2011',36
'08/30/2012',57
'07/09/2010',13
'12/19/2014',67
'08/30/2011',57
'07/09/2015',85
'12/19/2013',61
'03/21/2011',31
'11/17/2012',58
'02/04/2013',26
'02/04/2010',21
'02/04/2015',95
'04/23/2010',37
'02/16/2012',43
'02/16/2015',76
'05/17/2015',62
'10/29/2013',76
'07/11/2014',71
'07/11/2012',43
'01/22/2011',15
'04/11/2010',22
'01/22/2014',27
'10/26/2010',54
'08/02/2014',96
'01/19/2016',97
'09/23/2015',166
'09/23/2012',24
'08/22/2014',49
'07/30/2012',24
'08/22/2011',33
'08/22/2012',61
'12/27/2012',26
'02/24/2011',33
'02/24/2012',41
'10/20/2011',56
'10/20/2014',104
'12/17/2010',30
'07/16/2013',25
'12/17/2013',48
'01/19/2010',22
'03/08/2012',47
'03/08/2011',41
'09/11/2014',104
'12/08/2011',35
'04/12/2013',38
'04/12/2015',58
'03/22/2010',35
'07/14/2013',23
'12/03/2010',31
'07/14/2010',20
'11/29/2012',51
'10/19/2012',37
'11/29/2011',57
'10/19/2015',117
'11/29/2014',67
'06/30/2015',126
'06/30/2010',31
'06/30/2013',5
'10/24/2015',212
'08/09/2012',52
'08/09/2011',31
'02/27/2016',159
'02/27/2011',18
'10/23/2013',118
'10/23/2014',88
'01/09/2012',31
'10/13/2010',52
'10/11/2015',63
'04/17/2011',11
'05/22/2012',33
'04/17/2012',47
'05/28/2015',124
'06/18/2010',18
'03/21/2014',99
'02/20/2010',31
'01/28/2010',31
'04/07/2010',42
'08/30/2014',87
'04/07/2013',51
'12/23/2014',53
'09/13/2011',54
'12/23/2011',18
'06/01/2014',63
'09/14/2010',54
'05/27/2014',76
'09/14/2015',88
'05/27/2011',34
'09/18/2015',105
'01/11/2012',31
'10/16/2010',29
'09/18/2013',74
'01/11/2011',20
'02/05/2016',55
'02/05/2011',18
'02/22/2014',86
'02/22/2011',22
'01/12/2013',63
'07/26/2013',53
'01/12/2010',18
'08/18/2012',28
'07/26/2015',31
'09/26/2014',72
'02/08/2016',75
'12/07/2013',79
'03/10/2014',49
'02/08/2013',22
'12/07/2014',53
'09/26/2012',57
'02/08/2010',13
'02/03/2013',24
'02/03/2016',120
'02/03/2015',38
'10/03/2013',93
'09/01/2012',35
'10/03/2010',23
'07/18/2015',146
'10/03/2015',120
'09/01/2014',41
'08/18/2014',62
'12/26/2014',26
'06/11/2010',19
'01/19/2015',108
'06/11/2015',83
'04/19/2015',80
'12/26/2012',23
'04/13/2013',60
'12/05/2013',101
'04/13/2014',74
'12/05/2010',15
'06/02/2014',94
'06/02/2011',28
'06/02/2012',48
'11/30/2010',31
'11/30/2013',44
'01/04/2015',25
'05/03/2010',42
'12/20/2013',50
'05/03/2015',65
'06/29/2014',46
'12/20/2015',57
'06/09/2015',138
'09/08/2015',66
'06/09/2010',25
'06/09/2013',47
'08/31/2010',17
'03/26/2012',48
'03/28/2012',72
'03/26/2011',26
'07/04/2014',22
'02/11/2016',110
'07/04/2013',25
'04/22/2010',34
'04/22/2015',112
'10/12/2011',56
'10/28/2011',31
'01/27/2011',17
'10/12/2012',47
'04/10/2014',105
'01/27/2016',62
'11/21/2015',209
'07/07/2012',20
'03/20/2012',73
'03/20/2015',71
'07/07/2014',56
'01/17/2011',34
'01/17/2014',60
'08/29/2011',12
'04/19/2012',76
'04/16/2014',74
'04/16/2013',73
'02/11/2015',87
'01/08/2014',30
'01/08/2012',8
'08/17/2013',73
'08/17/2014',49
'04/15/2013',83
'04/15/2010',39
'04/15/2015',118
'10/11/2012',68
'11/11/2010',38
'08/16/2014',98
'03/19/2010',28
'03/19/2013',39
'02/29/2016',87
'01/04/2012',12
'01/02/2014',28
'03/07/2012',48
'05/05/2013',12
'05/05/2010',50
'05/05/2015',121
'06/12/2011',21
'03/24/2010',19
'03/24/2013',37
'10/26/2015',108
'09/19/2012',54
'10/17/2010',18
'04/10/2011',13
'03/23/2011',29
'03/23/2012',38
'03/13/2012',56
'03/13/2011',12
'03/13/2014',62
'10/31/2012',2
'11/28/2010',21
'10/31/2011',27
'11/28/2015',94
'06/28/2010',8
'04/09/2014',129
'10/14/2014',148
'11/19/2015',116
'11/19/2013',82
'05/18/2014',73
'07/02/2012',22
'07/02/2015',98
'04/21/2010',38
'08/14/2014',83
'04/21/2013',37
'05/20/2012',18
'01/23/2011',8
'05/20/2011',39
'08/16/2012',40
'08/13/2014',69
'08/16/2011',38
'08/13/2011',41
'11/12/2012',38
'08/13/2012',25
'05/11/2013',39
'10/28/2014',106
'05/11/2015',102
'03/16/2015',58
'03/16/2013',62
'10/01/2014',143
'09/28/2010',46
'08/24/2014',55
'10/01/2011',51
'09/03/2010',20
'08/24/2011',43
'10/01/2012',60
'07/17/2012',31
'07/17/2011',12
'07/17/2014',91
'03/18/2013',24
'09/05/2012',41
'01/07/2011',20
'01/07/2012',19
'03/18/2010',27
'03/03/2012',35
'01/30/2012',20
'05/14/2015',118
'05/14/2013',64
'09/21/2012',50
'06/26/2011',23
'01/26/2015',25
'07/27/2013',49
'01/26/2010',32
'07/27/2014',36
'01/26/2013',17
'01/05/2015',49
'01/05/2012',34
'07/30/2014',92
'06/07/2010',33
'12/27/2014',71
'05/17/2010',41
'05/17/2013',44
'04/18/2011',29
'01/20/2010',37
'07/10/2010',23
'05/09/2013',67
'05/09/2010',15
'04/18/2014',79
'07/22/2014',87
'08/27/2010',37
'03/12/2010',8
'02/21/2010',15
'10/18/2014',151
'03/12/2015',98
'03/28/2015',127
'07/31/2012',48
'06/22/2015',92
'07/31/2011',15
'07/16/2014',64
'12/06/2012',52
'05/30/2013',47
'05/30/2010',9
'05/08/2012',63
'03/11/2013',62
'05/08/2015',130
'06/14/2012',49
'06/14/2011',53
'03/11/2010',35
'12/30/2010',8
'12/06/2014',122
'02/11/2013',22
'07/22/2013',22
'08/19/2011',26
'10/14/2012',20
'07/24/2012',60
'07/24/2015',70
'03/17/2012',40
'03/17/2011',18
'04/01/2012',26
'05/31/2012',52
'04/01/2011',17
'05/31/2015',68
'04/01/2014',146
'03/31/2013',16
'03/14/2011',20
'04/27/2012',33
'02/28/2014',81
'04/27/2011',52
'12/10/2014',86
'12/10/2011',52
'12/10/2012',42
'02/19/2014',65
'06/13/2015',121
'02/19/2011',10
'06/13/2012',46
'02/19/2012',12
'06/23/2015',99
'11/14/2013',84
'06/23/2010',23
'06/23/2013',25
'02/12/2015',64
'02/12/2010',13
'02/12/2013',60
'04/08/2010',33
'10/30/2013',87
'05/01/2013',72
'07/03/2015',87
'09/11/2013',65
'04/04/2014',74
'09/20/2010',49
'11/25/2015',82
'04/04/2011',31
'11/25/2010',17
'04/04/2012',49
'11/24/2015',121
'03/01/2010',17
'01/03/2010',5
'11/26/2012',30
'04/20/2015',72
'04/20/2012',37
'11/26/2014',46
'02/15/2010',24
'04/29/2012',21
'08/12/2015',53
'09/08/2010',32
'04/29/2015',158
'08/12/2010',31
'09/08/2013',43
'12/30/2015',100
'05/19/2012',46
'10/25/2011',48
'05/19/2011',45
'12/13/2011',44
'05/19/2014',101
'09/29/2011',47
'09/29/2012',65
'08/23/2012',59
'08/08/2010',14
'08/23/2011',55
'09/25/2010',44
'04/30/2012',30
'02/17/2015',52
'02/17/2012',34
'08/25/2012',41
'10/08/2011',62
'11/07/2012',14
'08/25/2015',103
'11/07/2011',42
'12/14/2010',17
'12/14/2015',92
'11/06/2010',34
'09/12/2012',71
'08/15/2014',64
'08/15/2011',11
'09/12/2014',96
'11/14/2015',183
'03/24/2015',104
'06/06/2010',8
'06/06/2015',173
'12/31/2011',23
'09/22/2015',142
'12/16/2014',138
'12/16/2011',32
'06/12/2014',93
'07/29/2011',25
'05/18/2013',73
'09/17/2010',23
'11/23/2012',23
'11/23/2015',96
'05/10/2011',44
'08/21/2015',60
'05/10/2012',43
'08/21/2010',25
'06/15/2011',40
'08/21/2013',63
'09/17/2013',69
'08/26/2011',6
'08/26/2012',24
'11/24/2013',35
'08/14/2011',5
'10/17/2015',160
'07/13/2012',20
'07/13/2011',35
'09/05/2015',88
'10/07/2013',82
'02/28/2013',53
'03/05/2016',162
'10/07/2010',26
'09/21/2011',45
'01/06/2013',17
'04/03/2013',65
'01/06/2016',113
'01/30/2014',48
'07/10/2013',31
'09/19/2011',31
'07/10/2015',72
'03/31/2015',121
'04/03/2010',20
'04/05/2012',29
'04/05/2011',46
'08/04/2010',33
'08/04/2015',81
'06/15/2012',42
'04/06/2013',58
'04/06/2010',51
'04/06/2015',103
'09/22/2012',66
'01/10/2010',10
'10/24/2010',31
'07/25/2014',53
'07/25/2011',20
'05/16/2011',52
'06/05/2010',33
'05/06/2014',117
'06/05/2013',78
'05/06/2013',58
'09/24/2012',48
'09/24/2011',35
'03/30/2011',27
'08/11/2011',47
'03/30/2012',29
'02/25/2014',80
'02/25/2013',46
'04/09/2013',31
'05/13/2010',30
'10/27/2014',113
'09/06/2010',15
'05/13/2013',70
'10/27/2011',45
'10/14/2011',37
'09/27/2015',94
'10/04/2015',53
'02/26/2013',43
'01/18/2014',83
'02/26/2010',5
'01/18/2011',13
'02/26/2015',79
'01/18/2012',41
'07/15/2012',10
'07/15/2015',96
'04/09/2015',94
'08/05/2012',11
'01/13/2015',69
'12/29/2013',7
'08/05/2011',28
'02/09/2014',28
'12/29/2014',57
'03/25/2015',109
'01/13/2013',32
'05/24/2013',24
'05/24/2015',41
'12/02/2014',77
'12/02/2013',53
'09/10/2015',64
'09/10/2013',90
'07/05/2015',22
'08/10/2015',90
'08/10/2010',28
'07/05/2013',9
'08/10/2013',44
'02/07/2016',66
'12/01/2012',42
'02/07/2015',92
'02/07/2010',11
'12/01/2014',86
'01/14/2011',11
'01/14/2012',29
'07/13/2013',39
'02/06/2014',30
'02/06/2011',8
'02/06/2012',20
'05/21/2014',155
'05/21/2011',56
'05/21/2012',36
'06/17/2013',37
'09/27/2013',78
'04/11/2015',120
'06/17/2010',38
'10/29/2012',3
'06/17/2015',89
'10/04/2013',62
'08/31/2013',46
'01/31/2015',76
'01/31/2010',14
'01/31/2013',57
'01/16/2015',72
'09/27/2010',35
'01/16/2012',37
'05/22/2015',99
'05/22/2010',39
'08/18/2013',23
'05/22/2013',50
'12/21/2010',23
'02/23/2011',24
'02/23/2014',42
'10/27/2012',85
'03/05/2013',44
'07/06/2011',18
'11/01/2010',20
'11/01/2013',67
'06/29/2010',18
'03/05/2014',73
'06/01/2010',26
'04/24/2011',10
'10/10/2014',87
'10/10/2011',49
'04/21/2011',23
'03/07/2014',68
'03/07/2011',20
'02/14/2010',8
'01/23/2013',38
'06/08/2011',31
'10/11/2010',34
'07/01/2010',21
'12/04/2012',73
'09/20/2011',55
'07/01/2015',118
'12/04/2015',100
'09/28/2012',37
'08/16/2013',64
'09/02/2015',113
'09/02/2010',27
'06/25/2013',47
'06/25/2015',131
'06/03/2014',100
'06/03/2013',23
'12/15/2012',55
'07/03/2014',36
'12/15/2014',72
'10/06/2011',46
'09/04/2012',32
'11/12/2013',40
'10/06/2014',94
'09/04/2015',59
'04/07/2011',36
'06/16/2011',45
'06/20/2014',87
'06/20/2011',26
'06/20/2012',26
'03/04/2013',46
'03/04/2016',53
'03/27/2010',47
'03/04/2015',62
'06/04/2014',95
'06/04/2011',44
'01/02/2015',26
'04/14/2011',50
'10/02/2014',129
'10/02/2012',49
'01/29/2011',18
'03/25/2013',33
'01/29/2012',24
'11/10/2010',46
'02/09/2011',16
'09/07/2011',28
'10/05/2013',106
'09/07/2012',36
'05/12/2013',75
'10/05/2014',82
'05/12/2010',38
'01/02/2016',64
'10/09/2014',89
'11/10/2015',122
'10/09/2011',27
'04/20/2011',35
'01/02/2010',10
'10/09/2012',64
'01/13/2010',14
'08/05/2014',99
'07/23/2013',24
'11/13/2012',36
'11/02/2013',126
'11/02/2014',42
'01/01/2014',12
'10/15/2014',128
'08/01/2015',92
'09/03/2013',52
'08/01/2010',18
'09/08/2011',34
'05/29/2010',45
'04/25/2015',140
'08/12/2011',35
'04/25/2010',12
'04/25/2013',55
'07/21/2013',15
'03/29/2014',117
'03/29/2011',24
'06/01/2013',29
'11/18/2012',26
'11/18/2011',35
'06/24/2013',28
'06/24/2014',124
'07/08/2012',13
'01/24/2014',28
'07/08/2011',26
'01/24/2013',31
'07/08/2014',80
'01/25/2015',43
'01/25/2016',26
'01/25/2013',33
'10/25/2013',59
'08/06/2014',85
'08/06/2011',35
'12/08/2012',47
'02/01/2011',23
'02/01/2014',112
'07/18/2012',29
'10/25/2010',48
'03/10/2013',45
'07/18/2014',74
'10/21/2014',121
'04/19/2011',44
'11/04/2013',74
'06/27/2011',32
'11/04/2010',30
'06/27/2014',76
'12/13/2012',35
'11/04/2015',159
'11/15/2010',51
'04/26/2010',27
'11/16/2010',45
'06/19/2013',66
'11/16/2013',110
'06/19/2014',80
'01/04/2016',47
'01/21/2010',23
'01/07/2015',52
'05/25/2015',57
'06/21/2014',109
'06/21/2013',46
'12/22/2011',30
'12/22/2014',58
'08/23/2013',46
'08/07/2011',16
'08/07/2014',55
'07/19/2012',38
'06/22/2012',15
'09/16/2015',122
'10/18/2013',87
'07/31/2013',69
'06/22/2014',51
'11/24/2014',97
'01/15/2016',90
'01/15/2015',71
'03/06/2011',9
'03/06/2014',71
'01/12/2012',33
'08/20/2012',47
'10/08/2014',123
'10/08/2013',103
'03/31/2010',45
'08/20/2014',95
'08/18/2010',17
'12/30/2012',20
'09/09/2012',25
'10/22/2010',29
'01/21/2016',64
'09/09/2014',145
'04/28/2014',80
'04/28/2011',37
'11/05/2011',58
'05/23/2011',45
'03/02/2015',36
'05/15/2014',99
'03/02/2010',29
'05/15/2013',66
'03/02/2013',54
'11/27/2011',22
'05/02/2012',38
'08/02/2011',44
'05/02/2011',46
'07/20/2011',19
'05/02/2014',101
'12/09/2012',29
'02/10/2012',23
'03/09/2010',34
'12/09/2014',51
'05/26/2010',43
'09/15/2013',45
'09/30/2011',32
'05/26/2013',27
'09/15/2015',118
'07/12/2013',37
'10/15/2012',48
'02/02/2011',19
'02/13/2011',7
'02/02/2012',51
'02/13/2016',85
'03/15/2015',56
'11/20/2013',58
'07/21/2010',15
'03/15/2010',28
'11/20/2014',82
'03/15/2013',32
'05/01/2012',49
'07/03/2011',10
'07/21/2015',72
'07/19/2014',138
'05/07/2010',32
'02/10/2011',20
'12/12/2013',52
'12/11/2014',78
'12/11/2013',56
'02/18/2014',74
'02/18/2013',37
'07/12/2015',50
'08/03/2015',41
'11/22/2014',133
'08/03/2010',35
'11/22/2011',37
'08/03/2013',53
'07/23/2015',61
'06/10/2013',25
'12/12/2010',11
'12/21/2015',73
'05/04/2011',53
'12/12/2015',183
'06/10/2015',144
'05/28/2012',12
'05/28/2011',49
'11/08/2013',70
'05/17/2011',47
'11/03/2015',186
'07/28/2014',50
'07/28/2012',34
'11/08/2010',32
'01/05/2014',23
'04/02/2013',32
'11/03/2013',28
'08/30/2013',60
'07/09/2013',36
'12/19/2015',116
'03/21/2013',65
'07/09/2014',64
'12/19/2010',13
'08/30/2015',65
'02/04/2012',60
'11/17/2011',51
'02/04/2014',36
'04/23/2012',41
'04/23/2011',23
'10/29/2015',114
'04/23/2014',110
'02/16/2010',22
'02/16/2013',40
'02/16/2016',97
'04/11/2012',45
'07/11/2015',164
'07/11/2010',8
'07/11/2013',34
'01/22/2012',7
'10/26/2012',72
'01/22/2015',82
'10/26/2011',67
'09/23/2014',106
'09/23/2011',31
'03/18/2015',86
'03/18/2012',15
'12/27/2011',24
'02/24/2010',22
'12/26/2010',2
'04/18/2012',54
'10/20/2015',141
'07/16/2011',33
'12/17/2011',38
'07/16/2012',27
'12/17/2014',99
'06/15/2010',61
'01/19/2011',24
'03/08/2014',79
'03/08/2013',32
'12/08/2014',96
'09/11/2015',86
'09/11/2010',44
'04/02/2010',21
'04/13/2012',53
'03/22/2012',77
'03/22/2011',33
